advmean,advstd,curr_cr,curr_iter,curr_lr,elapsed_time,ev,expected_time,frac,opt_approxkl,opt_clipfrac,opt_ent,opt_pg_loss,opt_policy_loss,opt_vf_loss,retmean,retstd,rew_mean,vpredmean,vpredstd
0.0,0.99999946,0.1,83,0.0001,3.655731439590454,0.7628920376300812,15.866889928778013,0.994688,1.0015426e-14,0.0,1.4567777,-0.038169675,-0.020820918,0.018805536,0.7884041,0.43745738,0.6152344,0.7848494,0.3944529
1.4901161e-08,0.99999946,0.1,84,0.0001,3.614830732345581,0.8335053324699402,15.689369498027695,0.994624,1.26826175e-14,0.0,1.5818582,0.026697496,0.041248024,0.016132388,0.80254036,0.48276258,0.5654297,0.82571626,0.41630128
-2.2351742e-08,0.9999995,0.1,85,0.0001,3.590789556503296,0.8423428535461426,15.585024116767777,0.99456,9.246293e-15,0.0,1.6213655,-0.15891364,-0.14480071,0.0157343,0.6221839,0.54461884,0.4482422,0.7100119,0.5371012
1.4901161e-08,0.9999995,0.1,86,0.0001,3.679245710372925,0.781003937125206,15.96894839571582,0.994496,1.692571e-14,0.0,1.4171798,0.020423993,0.04299997,0.023993159,0.8255183,0.4253996,0.5644531,0.8324905,0.39986813
0.0,0.9999995,0.1,87,0.0001,3.6535186767578125,0.7190895080566406,15.857285923428005,0.994432,9.0118885e-15,0.0,1.5417227,0.09845105,0.12914577,0.032236446,0.68493587,0.43082777,0.6035156,0.68397367,0.4366608
-7.450581e-09,0.99999946,0.1,88,0.0001,3.5888354778289795,0.8765931129455566,15.576542872521612,0.994368,1.685544e-14,0.0,1.5257046,0.04692746,0.06341653,0.01801478,0.6399563,0.5289257,0.44628906,0.6626711,0.4690193
7.450581e-09,0.99999946,0.1,89,0.0001,3.661231517791748,0.8456002771854401,15.890761795971128,0.994304,1.0599377e-14,0.0,1.6549075,0.017982356,0.035439923,0.019112477,0.6044398,0.49906862,0.44628906,0.6495643,0.48740274
7.450581e-09,0.9999995,0.1,90,0.0001,3.7285640239715576,0.7970905601978302,16.183003576265442,0.99424,1.1356367e-14,0.0,1.5612679,0.03797304,0.06462976,0.028217997,0.6624076,0.49872115,0.39941406,0.6711788,0.45513043
-3.7252903e-09,0.9999994,0.1,91,0.0001,3.665250301361084,0.8299817591905594,15.908204432990816,0.994176,9.034494e-15,0.0,1.6345353,0.077301346,0.09445434,0.018787535,0.5711868,0.4394116,0.38476562,0.5538981,0.4011015
0.0,0.9999994,0.1,92,0.0001,3.756636619567871,0.8668793886899948,16.304846439096664,0.994112,1.4137129e-14,0.0,1.6858547,0.11681526,0.13741374,0.022284344,0.6523334,0.5069111,0.41308594,0.5917754,0.4762416
0.0,0.9999997,0.1,93,0.0001,3.7509453296661377,0.6681481897830963,16.280144660009277,0.994048,1.2880322e-14,0.0,1.5489616,0.008888345,0.029616904,0.02227752,0.88213944,0.44321197,0.4609375,0.9169834,0.38587835
2.9802322e-08,0.9999995,0.1,94,0.0001,3.6465682983398438,0.7435222566127777,15.82711935043335,0.993984,9.163026e-15,0.0,1.4830244,-0.027578562,-0.0060781147,0.022983473,0.93543005,0.41504925,0.6035156,0.9778602,0.39194328
0.0,0.9999996,0.1,95,0.0001,3.692767858505249,0.7745169103145599,16.027638274762367,0.99392,8.037191e-15,0.0,1.5385797,-0.0009060949,0.030460062,0.032904737,0.8858155,0.52709115,0.65722656,0.9219103,0.52322453
1.8626451e-08,0.9999994,0.1,96,0.0001,3.666614294052124,0.8623459935188293,15.914124540156788,0.993856,1.0036676e-14,0.0,1.4794157,0.0033323132,0.016553208,0.014700311,0.6955513,0.53388464,0.5107422,0.6913125,0.52259725
0.0,0.99999964,0.1,97,0.0001,3.771221876144409,0.7790008783340454,16.368150504099,0.993792,9.007552e-15,0.0,1.6580234,0.05552361,0.100444615,0.04657903,0.6955523,0.54251283,0.38476562,0.6869592,0.56398326
7.450581e-09,0.99999946,0.1,98,0.0001,3.767120599746704,0.7954148948192596,16.350349825289513,0.993728,1.20979615e-14,0.0,1.4860992,-0.113313444,-0.09742657,0.017372973,0.695981,0.44914785,0.4794922,0.6910779,0.4336524
1.4901161e-08,0.99999934,0.1,99,0.0001,3.710925340652466,0.9210214614868164,16.10644679102633,0.993664,9.640075e-15,0.0,1.5101583,0.062230512,0.07530866,0.014588302,0.4805692,0.58891696,0.34960938,0.49476168,0.58388734
-3.7252903e-09,0.99999946,0.1,100,0.0001,15.131051778793335,0.879860170185566,65.67296778990163,0.9936,6.6346668e-15,0.0,1.633853,0.054849915,0.0703509,0.017134838,0.59862477,0.58070433,0.34960938,0.6092756,0.55814993
